Recall,Precision
1.0,0.0017204452090867595
1.0,0.0017270852792414923
1.0,0.0017271157167530224
1.0,0.0017271461553374104
1.0,0.0017271765949947128
1.0,0.0017272070357249863
1.0,0.001727237477528288
1.0,0.0017272679204046741
1.0,0.001727298364354202
1.0,0.0017273288093769279
1.0,0.0017273592554729086
1.0,0.0017273897026422011
1.0,0.0017274201508848622
1.0,0.0017274506002009484
1.0,0.0017274810505905165
1.0,0.0017275115020536234
1.0,0.0017275419545903258
1.0,0.0017275724082006804
1.0,0.0017276028628847443
1.0,0.0017276333186425738
1.0,0.001727663775474226
1.0,0.0017276942333797577
1.0,0.0017277246923592257
1.0,0.0017277551524126867
1.0,0.0017277856135401975
1.0,0.0017278160757418148
1.0,0.0017278465390175959
1.0,0.001727877003367597
1.0,0.0017279074687918752
1.0,0.0017279379352904876
1.0,0.0017279684028634905
1.0,0.001727998871510941
1.0,0.001728029341232896
1.0,0.0017280598120294123
1.0,0.0017280902839005466
1.0,0.0017281207568463559
1.0,0.001728181705962227
1.0,0.0017282121821324023
1.0,0.00172830361709257
1.0,0.0017283340975626962
1.0,0.0017283645791079522
1.0,0.0017283950617283952
1.0,0.0017284255454240816
1.0,0.0017284560301950686
1.0,0.0017284865160414132
1.0,0.001728517002963172
1.0,0.001728547490960402
1.0,0.0017285779800331605
1.0,0.001728608470181504
1.0,0.0017286389614054893
1.0,0.0017286999470806138
1.0,0.0017287304415318668
1.0,0.0017287609370589896
1.0,0.001728791433662039
1.0,0.001728821931341072
1.0,0.0017288524300961455
1.0,0.0017288829299273163
1.0,0.0017289134308346417
1.0,0.0017289439328181785
1.0,0.0017289744358779838
1.0,0.0017290049400141144
1.0,0.0017290354452266271
1.0,0.0017290659515155793
1.0,0.0017290964588810276
1.0,0.001729126967323029
1.0,0.0017291574768416409
1.0,0.0017291879874369199
1.0,0.001729218499108923
1.0,0.0017292490118577075
1.0,0.00172927952568333
1.0,0.0017293100405858478
1.0,0.001729340556565318
1.0,0.0017293710736217972
1.0,0.0017294015917553426
1.0,0.0017294321109660113
1.0,0.0017294626312538604
1.0,0.0017294931526189467
1.0,0.0017295236750613275
1.0,0.0017295541985810597
1.0,0.0017295847231782002
1.0,0.0017296152488528063
1.0,0.0017296457756049348
1.0,0.001729676303434643
1.0,0.0017297068323419878
1.0,0.0017297373623270263
1.0,0.0017297678933898156
1.0,0.0017297984255304126
1.0,0.0017298289587488747
1.0,0.0017298594930452587
1.0,0.001729890028419622
1.0,0.0017299205648720211
1.0,0.0017299511024025137
1.0,0.0017299816410111567
1.0,0.0017300121806980069
1.0,0.0017300427214631219
1.0,0.0017300732633065584
1.0,0.0017301038062283738
1.0,0.0017301343502286249
1.0,0.001730164895307369
1.0,0.0017301954414646633
1.0,0.001730225988700565
1.0,0.0017302565370151308
1.0,0.0017302870864084185
1.0,0.0017303176368804844
1.0,0.0017303481884313864
1.0,0.0017303787410611813
1.0,0.0017304092947699262
1.0,0.0017304398495576784
